Nº MPAL;ÁREA DE GOBIERNO;DIRECCIÓN GENERAL/DISTRITO/OO.AA  de ADSCRIPCIÓN (esta casilla sólo se muestra a efectos internos, sin que esté prevista su visualización en el Portal de Datos Abiertos);TIPO DE USO;TIPO VEHICULO;RÉGIMEN JURÍDICO ;ENERGÍA/COMBUSTIBLE
6061;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
4306;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SOSTENIBILIDAD Y CONTROL AMBIENTAL;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
6032;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
4380;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
4330;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
102;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;OFICINA DE LA PRESIDENCIA DEL PLENO;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA / HIBRIDO
6327;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
8511;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
8502;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
2581;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
5206;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA ;PROPIEDAD;DIESEL
3426;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2440;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
1118;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
2782;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2781;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
8530;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
1403;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;EXPOSICIÓN;CAMIÓN;PROPIEDAD;DIESEL
3090;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;FORMACIÓN;MOTO;PROPIEDAD;GASOLINA
6178;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
1344;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
6325;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
2770;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3320;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
557;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;ORGANISMO AUTONOMO AGENCIA DE ACTIVIDADES;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA
5093;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA
1621;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
2622;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
5129;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA
5110;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA
6905;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;RENTING;GASOLINA
5314;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;DIESEL
3262;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
5205;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA ;PROPIEDAD;DIESEL
6031;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
8195;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
6185;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
2261;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;FURGONETA;RENTING;DIESEL
1624;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
8174;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
4763;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;VEHÍCULO ESPECIAL;PROPIEDAD;DIESEL
8506;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
8779;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AUTOBUS;CEDIDO POR;DIESEL
6371;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
3078;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
8305;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
8500;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
93189;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;REMOLQUE;PROPIEDAD;R.
8508;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
6089;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
3304;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2570;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2117;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;DIESEL
8198;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
4381;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;S.G.T. MEDIO AMBIENTE Y MOVILIDAD;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA / GLP
4904;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTIÓN DEL AGUA Y ZONAS VERDES;OPERATIVO;VEHÍCULO ESPECIAL;PROPIEDAD;DIESEL
6076;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
8516;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
1225;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
4924;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTIÓN DEL AGUA Y ZONAS VERDES;OPERATIVO;TURISMO;PROPIEDAD;DIESEL
4305;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
3983;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
4350;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SOSTENIBILIDAD Y CONTROL AMBIENTAL;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
5212;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA ;PROPIEDAD;DIESEL
8185;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
8525;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
3202;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3710;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
114;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;J.M.D. CIUDAD LINEAL;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA / HIBRIDO
6037;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
2624;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
4324;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
8191;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
5065;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA
3711;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
826;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;OO.AA. MADRID SALUD (IC);INCIDENCIAS;TURISMO;RENTING;DIESEL
6304;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
4335;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
3771;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2947;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;GASOLINA
4015;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN;CEDIDO A;DIESEL
2557;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
1211;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL
1723;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
M1114;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;EXPOSICIÓN;CAMIÓN;PROPIEDAD;DIESEL
8493;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
6215;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;RENTING;DIESEL
2110;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA
3222;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
4215;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA
3252;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
1438;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL
226;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;SECRETARIA SERVICIOS COMUNES Y FONDOS EUROPEOS;INCIDENCIAS;FURGONETA;PROPIEDAD;GASOLINA
2935;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL
3080;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;FORMACIÓN;MOTO;PROPIEDAD;GASOLINA
B 2417;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;CEDIDOS - EMPRESA MUNICIPAL DE TRANSPORTES DE MADRID,S .A.;OPERATIVO;AUTOBUS;CEDIDO A;DIESEL
3231;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
5066;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA
4360;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
8528;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL
3708;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
4022;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN;CEDIDO A;DIESEL
3417;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
1553;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
2933;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL
4546;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTIÓN DEL AGUA Y ZONAS VERDES;OPERATIVO;TURISMO;RENTING;GASOLINA
3795;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2559;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3781;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
4343;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
4224;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN;CEDIDO A;DIESEL
8959;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2437;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
3933;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
4321;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
139;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;S.G.T. DE CULTURA Y DEPORTES;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA / HIBRIDO
4479;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTIÓN DEL AGUA Y ZONAS VERDES;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL
5163;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA
6378;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
4593;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;SECRETARÍA GENERAL TÉCNICA DE PORTAVOZ, COORDINACIÓN DE LA JUNTA DE GOBIERNO  Y RELACIONES CON EL PLENO;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA
1232;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
128;AREA DE GOBIERNO DE ECONOMIA Y HACIENDA;J.M.D. VILLAVERDE;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA / HIBRIDO
1491;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL
2262;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. DE GESTIÓN Y VIGILANCIA DE LA CIRCULACIÓN;OPERATIVO;FURGONETA;RENTING;DIESEL
4383;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;S.G.T. MEDIO AMBIENTE Y MOVILIDAD;ADMINISTRATIVO;TURISMO;RENTING;GASOLINA / GLP
4923;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTIÓN DEL AGUA Y ZONAS VERDES;OPERATIVO;TURISMO;PROPIEDAD;DIESEL
6202;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;RENTING;DIESEL
2823;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL
2824;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL
5154;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;PROPIEDAD;GASOLINA
4799;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTIÓN DEL AGUA Y ZONAS VERDES;OPERATIVO;CAMIÓN;CEDIDO A;DIESEL
3269;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;MOTO;PROPIEDAD;GASOLINA
2926;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;INCIDENCIAS;CAMIÓN;PROPIEDAD;DIESEL
6041;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;TURISMO;RENTING;GASOLINA
4259;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;CAMIÓN;CEDIDO A;DIESEL
1223;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
1406;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;PROPIEDAD;DIESEL
1632;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL
2813;AREA DE GOBIERNO DE SALUD,  SEGURIDAD Y EMERGENCIAS;D.G. DE LA POLICIA MUNICIPAL;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL
4379;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. SERVICIOS DE LIMPIEZA Y RESIDUOS;OPERATIVO;TURISMO;RENTING;GASOLINA / GLP
